Query,Time,Value,Unit
"name=""mitt romney""and channel=""MSNBC""",2014-02-03,72.054,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-02-10,669.5580000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-02-17,1526.203999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-02-24,249.147,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-03-03,198.14700000000005,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-03-10,86.717,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-03-17,562.475,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-03-24,993.804,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-03-31,120.075,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-04-07,312.2579999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-04-14,179.649,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-04-21,134.486,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-04-28,60.039,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-05-05,1966.6589999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-05-12,165.10499999999996,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-05-19,45.021,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-05-26,84.042,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-06-02,45.021,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-06-09,816.693,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-06-16,2075.3060000000005,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-06-23,66.051,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-06-30,399.26700000000005,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-07-07,462.345,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-07-14,27.009,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-07-21,60.03,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-07-28,1091.9750000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-08-04,135.111,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-08-11,21.015,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-08-18,159.09900000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-08-25,534.339,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-09-01,102.069,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-09-08,53.207,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-09-15,48.033,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-09-22,30.015,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-09-29,945.078,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-10-06,510.40799999999996,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-10-13,725.2930000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-10-20,144.09,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-10-27,958.5470000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-11-03,90.039,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-11-10,168.11399999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-11-17,315.2069999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-11-24,45.069,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-12-01,103.13000000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-12-08,204.135,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-12-15,185.65800000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-12-22,63.021,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-12-29,50.924,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-01-05,390.10499999999996,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-01-12,5098.570999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-01-19,2409.7239999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-01-26,3140.456,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-02-02,527.909,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-02-09,199.664,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-02-16,62.757,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-02-23,8.969,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-03-02,38.757999999999996,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-03-09,6,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-03-16,459.57300000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-03-23,65.726,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-03-30,62.665,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-04-06,56.757,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-04-13,65.724,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-04-20,44.847,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-04-27,11.939,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-05-04,98.48500000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-05-11,145.89600000000002,seconds
