GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B48001,B48002,B49001,B49002,B49003,B49004,B49005,B49006,B49007,B49008,B49009,B49010,B49011,B49012,B49013,B49014,B49015,B49016,B49017,B49018,B49019,B49020,B49021,B49022,B49023,B49024,B49025,B49026,B49027,B49028,B49029,B49030,B49031,B49032,B49033,B49034,B49035,B49036,B49037,B49038,B49039,B49040,B49041,B49042,B49043,B49044,B49045,B49046,B49047,B49048,B49049,B49050,B49051,B49052,B49053,B49054,B49055,B49056,B49057,B49058,B49059,B49060,B49061,B49062,B49063,B49064,B49065,B49066,B49067,B49068,B49069,B49070,B49071,B49072
"G360","1960","New York","360",,"New York",15287072,1495233,765356,701331,652978,489594,386046,440606,503989,522061,497085,490900,466265,423522,362536,296064,213183,123423,57298,29127,736794,674271,628897,510837,438528,463450,531058,563616,543714,534178,493704,446004,401953,344771,257286,159616,85219,51811,94200,77368,60972,43501,46960,53962,57895,58992,48445,42108,34668,30304,21262,14527,8888,4788,1939,1096,94650,78184,62070,49630,62826,66035,70689,68497,57853,49436,39337,32892,22705,16438,10998,6418,2813,1887
"G370","1960","North Carolina","370",,"North Carolina",3399285,1156870,183425,176017,173748,153595,124577,113396,118782,120138,108495,98733,83475,67976,52700,43759,31533,19775,9751,4922,176235,168891,166709,141550,119849,116483,122087,124320,111296,102835,89067,74602,61309,52247,39002,26376,13702,7928,83213,81529,73438,57022,36144,29280,29658,30919,29431,28152,22427,19114,13093,12160,8155,4932,2136,1469,83593,81622,72687,55966,37042,33738,35754,35558,32784,30460,24345,20922,15807,14082,9516,5852,2754,2116
"G380","1960","North Dakota","380",,"North Dakota",619538,12908,39224,36554,32034,25557,18539,17696,18845,18334,18477,18374,16663,14374,12263,10640,8637,5795,3027,1604,37846,35054,30881,25135,18589,17421,17804,17365,17608,17100,15240,13140,11347,9981,8251,5605,2846,1688,1230,983,831,684,525,399,360,285,263,213,233,176,126,102,71,51,22,17,1243,980,825,554,444,416,353,309,267,222,185,164,121,103,59,48,20,24
"G390","1960","Ohio","390",,"Ohio",8909698,796699,523359,478286,423369,304131,242837,262423,299268,310300,286804,262448,231016,198758,170041,146019,110765,70816,36182,19304,501054,458467,408249,319372,278629,273347,307400,325096,296436,268255,236962,207326,183631,166192,131187,90552,50444,30973,57037,48978,36340,25109,22399,25906,29104,28905,23949,21764,17875,16624,12526,9557,6021,3514,1449,1045,57950,48588,36859,27409,27410,30395,32557,30642,25390,22432,17913,15839,12109,9829,6298,3926,1773,1278
"G400","1960","Oklahoma","400",,"Oklahoma",2107900,220384,107553,105579,99444,84500,68052,61183,64111,67254,62883,62018,58640,51917,43303,37829,29355,20072,10966,6543,103808,100833,96322,81160,64243,63603,67040,70098,65318,65368,61558,55995,47090,43151,34356,24363,13714,8678,15721,14163,12343,9274,6306,5372,5159,5381,4802,5154,4856,4709,3757,3548,2624,1870,924,686,15665,13924,12364,9119,6576,6466,6393,6430,5828,6056,5497,5260,4005,3811,2711,1926,1013,691
"G410","1960","Oregon","410",,"Oregon",1732037,36650,91567,93725,85350,62605,44935,45356,51575,56263,56843,56716,49904,42602,36776,32751,25540,16423,8018,4091,88460,89888,82672,64901,49067,47784,53745,59551,57779,55490,48075,41531,37137,33531,27427,18121,9975,5863,2674,2321,1799,1299,1268,1231,1274,1361,1169,1151,927,773,554,374,365,208,103,60,2753,2291,1789,1326,1182,1275,1338,1352,1092,870,695,536,437,338,230,118,69,48
"G420","1960","Pennsylvania","420",,"Pennsylvania",10454004,865362,547447,511462,471515,362672,262107,285130,341069,363856,356519,337407,297076,255678,219332,189825,141763,86849,42290,21882,526799,492097,452944,375679,299908,302268,362526,393152,381107,351318,311393,273425,243788,217882,169414,110422,59694,36309,56704,49184,40280,29296,23611,26529,29396,30847,25999,23887,20427,19749,15059,11379,6923,3976,1713,1013,57004,49014,40640,31889,29673,31650,34649,34495,29511,26676,22155,20002,14841,11439,7441,4627,2143,1541
"G440","1960","Rhode Island","440",,"Rhode Island",838712,20776,43994,39527,36580,32505,28719,22801,27173,29752,27136,25607,22347,20187,17342,15014,10971,6549,3251,1810,42435,38174,35379,29170,23515,22945,28562,31263,29430,27482,25068,22648,20703,18261,14377,9478,5319,3238,1661,1256,981,790,1136,778,857,731,504,374,300,286,292,248,178,119,54,35,1681,1270,890,742,782,780,822,672,539,426,357,317,280,207,189,130,72,40
"G450","1960","South Carolina","450",,"South Carolina",1551022,831572,86782,83359,80140,76607,61922,52329,53245,55414,50067,44770,37043,28895,21959,17983,12418,7626,3518,1677,82879,79782,76390,64460,54219,52944,53958,57643,50548,45714,39086,32242,25857,22369,16818,11272,5885,3202,62703,61581,56268,44647,24573,19121,18702,20135,19552,18249,13708,11538,8333,8920,5983,3489,1500,1062,62549,61563,56132,43105,26088,22963,23605,24404,22255,20774,16048,13908,11237,11389,7549,4398,2039,1502
"G460","1960","South Dakota","460",,"South Dakota",653098,27416,39992,37799,32654,24659,18422,17947,19781,20222,19468,18169,16628,15491,14394,12865,10362,6483,3320,1778,38564,36153,31450,24540,18645,18101,19290,19252,18800,17674,16242,14916,13784,12682,10257,6681,3481,2152,2336,1922,1630,1439,1142,831,716,695,577,551,399,427,378,290,235,148,60,61,2235,2037,1710,1427,956,944,791,673,569,489,432,386,272,254,166,131,51,56
"G470","1960","Tennessee","470",,"Tennessee",2977753,589336,157907,152672,151135,127409,93521,89484,95017,99199,91658,88291,78479,65230,51924,44414,33550,22382,11184,6052,151958,147448,145867,122812,99993,96849,102265,106614,96954,91482,82277,70859,58633,51687,40551,28083,15006,8907,41488,37717,30967,22986,16340,14323,14488,14941,14631,15086,13876,12620,9400,9129,6030,3954,1851,1355,42321,37714,30826,23750,19181,17909,18542,18273,17310,17712,15406,13755,10729,9916,6784,4366,2001,1659
"G480","1960","Texas","480",,"Texas",8374831,1204846,503597,469628,414331,334020,273052,271449,283251,284850,252240,242109,213911,181495,140369,115549,84996,53220,26698,14745,485703,453692,399915,318314,275517,276495,290939,292500,255569,247017,215879,188358,153042,131220,101477,68973,37765,22946,86720,75777,60528,47486,36704,35720,35537,33991,30439,30218,27235,24592,18643,17338,11567,7230,3342,2404,85999,75414,60930,46609,40385,40958,41717,39008,34298,33634,29272,25709,19521,18690,12512,7751,3838,3130
"G490","1960","Utah","490",,"Utah",873828,16799,63022,56955,47430,36800,27606,28098,27425,26528,24788,22293,19124,15791,13020,10551,7975,5043,2431,1318,60480,54296,45317,38073,31657,27725,27053,26773,24527,21791,18870,15887,13430,11286,8990,6215,3371,1889,1397,1097,902,635,677,624,621,677,467,347,265,272,184,174,181,126,53,27,1310,1148,938,708,590,564,632,557,416,287,199,210,187,147,86,52,25,17
"G500","1960","Vermont","500",,"Vermont",389092,789,22573,20624,19440,15849,11004,10330,11154,11594,11314,11063,10398,9124,7872,6945,5295,3572,2047,1123,21210,20032,18501,15805,11326,10635,11697,12235,11781,11132,10509,9590,8639,8003,6667,4938,3007,2064,45,34,32,37,59,39,23,27,24,18,16,20,12,11,11,6,6,2,45,42,23,26,24,39,29,26,12,12,15,14,16,13,14,5,8,4
"G510","1960","Virginia","510",,"Virginia",3142443,824506,175809,161825,151903,132547,125696,104237,110594,115972,106341,93984,78074,63393,49203,39849,28627,18565,9327,5193,169427,156317,146985,121812,106427,103241,111850,120666,105555,93467,79775,67092,55879,47765,36989,25177,14328,8552,56493,52505,44669,35067,26360,23934,24952,26617,24376,22644,17786,15258,11505,10853,7417,4439,2016,1342,56531,51941,44261,34981,26275,25715,27098,27659,24599,22371,17708,15930,12673,11731,7947,4862,2381,1610
"G530","1960","Washington","530",,"Washington",2751675,101539,153185,146569,135226,101485,85559,80639,85449,93780,91761,86446,74547,63691,52673,46766,38415,25680,12747,6643,146868,141933,130310,100478,80687,77961,86659,96782,91285,84647,71834,61999,55031,50137,41061,28300,15451,8991,7759,6325,5018,3420,4324,3960,3741,4037,3371,2943,2655,2091,1314,917,887,583,292,139,7821,6224,4956,3192,3234,3816,4050,3896,2774,2035,1459,1222,1048,839,575,324,158,140
"G540","1960","West Virginia","540",,"West Virginia",1770133,90288,94601,96074,97739,74341,47433,45169,53248,56375,53614,52797,46726,39974,34084,28794,22523,15566,7906,4214,91028,92527,94417,74512,53744,51509,58879,61344,57803,54236,47577,41629,35275,30088,23584,16674,8888,5241,5375,5707,5123,3692,1822,1408,1798,2054,2146,2361,2460,2558,2378,2194,1433,838,292,218,5291,5568,5028,3909,2183,2005,2733,2758,2641,2777,2697,2618,2160,1713,1127,705,316,202
"G550","1960","Wisconsin","550",,"Wisconsin",3858903,92874,230994,211824,185028,137595,102787,109331,119028,120796,117309,114297,104248,94276,82989,71842,55259,34085,17270,9241,221551,203052,177080,140053,113113,109995,119392,124493,120907,115689,103872,94284,85236,76375,60153,40524,21666,13269,8479,6682,4580,2967,3238,3702,3769,3197,2379,1977,1552,1282,914,689,429,268,126,83,8481,6709,4643,3262,3693,4150,3785,3074,2221,1841,1376,1121,748,617,404,260,113,63
"G560","1960","Wyoming","560",,"Wyoming",322922,7144,20013,18751,16530,12167,9235,10220,11514,11306,10517,9871,8673,7059,6251,5238,3949,2367,1081,607,19351,18116,15518,11882,9812,10253,10728,11035,9864,9303,7645,6349,5406,4628,3525,2274,1192,692,610,530,403,304,285,218,234,204,185,145,134,120,96,66,63,43,13,13,634,523,395,241,249,250,242,202,188,120,103,106,68,65,46,29,10,7
