"COU","Country","TAX","Income Tax","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,47.475,,
"GRC","Greece","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,37.845,,
"GRC","Greece","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,35.7425,,
"GRC","Greece","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,33.64,,
"GRC","Greece","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,33.6,,
"GRC","Greece","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,33.6,,
"GRC","Greece","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,33.6,,
"GRC","Greece","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,33.6,,
"GRC","Greece","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,33.6,,
"GRC","Greece","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,33.6,,
"GRC","Greece","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,33.6,,
"GRC","Greece","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,37.8,,
"GRC","Greece","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,41.057917,,
"GRC","Greece","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,40.915,,
