"province_state","country_region","lat","long","date","cases","deaths","date_upd","is_country"
NA,"Algeria",28.0339,1.6596,"1/27/20",0,0,2020-01-27,TRUE
NA,"Algeria",28.0339,1.6596,"1/28/20",0,0,2020-01-28,TRUE
NA,"Algeria",28.0339,1.6596,"1/29/20",0,0,2020-01-29,TRUE
NA,"Algeria",28.0339,1.6596,"1/30/20",0,0,2020-01-30,TRUE
NA,"Algeria",28.0339,1.6596,"1/31/20",0,0,2020-01-31,TRUE
NA,"Algeria",28.0339,1.6596,"2/1/20",0,0,2020-02-01,TRUE
NA,"Algeria",28.0339,1.6596,"2/2/20",0,0,2020-02-02,TRUE
NA,"Algeria",28.0339,1.6596,"2/3/20",0,0,2020-02-03,TRUE
NA,"Algeria",28.0339,1.6596,"2/4/20",0,0,2020-02-04,TRUE
NA,"Algeria",28.0339,1.6596,"2/5/20",0,0,2020-02-05,TRUE
NA,"Algeria",28.0339,1.6596,"2/6/20",0,0,2020-02-06,TRUE
NA,"Algeria",28.0339,1.6596,"2/7/20",0,0,2020-02-07,TRUE
NA,"Algeria",28.0339,1.6596,"2/8/20",0,0,2020-02-08,TRUE
NA,"Algeria",28.0339,1.6596,"2/9/20",0,0,2020-02-09,TRUE
NA,"Algeria",28.0339,1.6596,"2/10/20",0,0,2020-02-10,TRUE
NA,"Algeria",28.0339,1.6596,"2/11/20",0,0,2020-02-11,TRUE
NA,"Algeria",28.0339,1.6596,"2/12/20",0,0,2020-02-12,TRUE
NA,"Algeria",28.0339,1.6596,"2/13/20",0,0,2020-02-13,TRUE
NA,"Algeria",28.0339,1.6596,"2/14/20",0,0,2020-02-14,TRUE
NA,"Algeria",28.0339,1.6596,"2/15/20",0,0,2020-02-15,TRUE
NA,"Algeria",28.0339,1.6596,"2/16/20",0,0,2020-02-16,TRUE
NA,"Algeria",28.0339,1.6596,"2/17/20",0,0,2020-02-17,TRUE
NA,"Algeria",28.0339,1.6596,"2/18/20",0,0,2020-02-18,TRUE
NA,"Algeria",28.0339,1.6596,"2/19/20",0,0,2020-02-19,TRUE
NA,"Algeria",28.0339,1.6596,"2/20/20",0,0,2020-02-20,TRUE
NA,"Algeria",28.0339,1.6596,"2/21/20",0,0,2020-02-21,TRUE
NA,"Algeria",28.0339,1.6596,"2/22/20",0,0,2020-02-22,TRUE
