"weekly_correlation","solution_diff","solved_ifr","sir_total_deaths","sir_total_observed_deaths","sir_observed_to_date","actual_to_date","projected_to_date","it","initial_r0","incubation_period","distancing_effect","prop_susceptible","initial_shutdown","missing_death_rate"
0.783723803974971,3105.08299613624,0.0136083149498133,63214,28446.3,15141.15,17669,18294.6666666667,7252,2.25,4.5,0.6,0.7,2020-03-07,0.55
0.912449442651604,3114.21233130377,0.00957349376933209,53336,21334.4,17677.2,17669,18294.6666666667,7824,2.75,5.5,0.7,0.4,2020-03-07,0.6
0.885558728305448,3118.68724163086,0.00396198430050574,48143,24071.5,16477.5,17669,18294.6666666667,5310,3,6,0.6,0.4,2020-03-07,0.5
0.87628464296986,3121.00755469704,0.00481006829339756,49019,31862.35,13081.9,17669,18294.6666666667,2358,2.5,5,0.6,0.7,2020-03-07,0.35
0.904902560824432,3121.02827370416,0.00278317755396862,33401,23380.7,15939,17669,18294.6666666667,410,3,6,0.6,0.4,2020-03-07,0.3
0.747237422488692,3139.94449200719,0.00549626614270853,96870,62965.5,25453.35,17669,18294.6666666667,1820,3,7,0.5,0.5,2020-03-07,0.35
0.968817664866729,3165.35314473191,0.00412073067195704,38108,22864.8,13618.2,17669,18294.6666666667,2854,2.75,5.5,0.6,0.4,2020-03-07,0.4
0.957050242937642,3166.56495938032,0.00122363819899589,36772,22063.2,16092,17669,18294.6666666667,3490,3,6,0.45,0.7,2020-03-07,0.4
0.903771314103746,3170.02822941826,0.0018788850415753,32709,19625.4,14808,17669,18294.6666666667,2755,3,6,0.45,0.4,2020-03-07,0.4
0.862094221672553,3173.46498367791,0.00807435294094667,31563,20515.95,15973.75,17669,18294.6666666667,1938,2.5,5,0.7,0.5,2020-03-07,0.35
0.880296532552556,3173.93850255711,0.00541832724372424,53408,34715.2,10894,17669,18294.6666666667,2037,2.25,4.5,0.5,0.6,2020-03-07,0.35
0.908231392054744,3174.55439835545,0.0197599782811115,67429,47200.3,12241.6,17669,18294.6666666667,1143,2.5,6,0.6,0.7,2020-03-07,0.3
0.823567311692817,3181.42071580844,0.00972733985235048,86344,60440.8,16856,17669,18294.6666666667,858,2.5,5.5,0.55,0.6,2020-03-07,0.3
0.98250942674492,3185.5854686035,0.00796612064835124,55084,27542,17509,17669,18294.6666666667,5059,2.75,5.5,0.6,0.3,2020-03-07,0.5
0.887232795190003,3187.97141660436,0.00375468035260371,70811,42486.6,14200.8,17669,18294.6666666667,3320,3,6.5,0.55,0.6,2020-03-07,0.4
0.936112212529311,3188.70762886842,0.00138833009730612,29599,20719.3,16004.1,17669,18294.6666666667,865,3,6,0.55,0.6,2020-03-07,0.3
0.977937093125243,3195.72261140893,0.0109788052744574,88728,62109.6,11891.6,17669,18294.6666666667,1062,2.25,5,0.5,0.7,2020-03-07,0.3
0.444075959084001,3212.46023754035,0.00465812057301979,38730,19365,16549.5,17669,18294.6666666667,5864,2.75,5.5,0.7,0.6,2020-03-07,0.5
0.923968802096985,3224.12106288178,0.0168233743338703,58081,40656.7,14389.2,17669,18294.6666666667,403,2.5,5.5,0.6,0.4,2020-03-07,0.3
0.779302265453217,3224.68502031704,0.0193764607595941,40320,22176,14240.6,17669,18294.6666666667,4638,2.5,5.5,0.7,0.6,2020-03-07,0.45
0.839062340453942,3225.22666749011,0.0156809144176706,73756,51629.2,18131.4,17669,18294.6666666667,414,2.75,6.5,0.6,0.4,2020-03-07,0.3
0.925664300300465,3227.34056629216,0.00613065305513674,97799,63569.35,14654.9,17669,18294.6666666667,2293,2.5,5.5,0.5,0.7,2020-03-07,0.35
0.878832972378217,3236.16126306749,0.00479297074161127,99983,64988.95,14225.9,17669,18294.6666666667,2258,2.5,5.5,0.45,0.7,2020-03-07,0.35
0.600048286393053,3241.40473282423,0.0126360591722951,39121,23472.6,20724,17669,18294.6666666667,2918,2.5,5,0.7,0.4,2020-03-07,0.4
0.929999747330149,3244.18173517375,0.0112670166409764,58425,37976.25,12890.15,17669,18294.6666666667,2118,2.5,5.5,0.6,0.6,2020-03-07,0.35
0.966304148122527,3249.25666333048,0.0154154136511616,50281,30168.6,15509.4,17669,18294.6666666667,2649,2.75,6,0.65,0.3,2020-03-07,0.4
0.982725258423884,3264.46518978356,0.00164662238395475,36633,21979.8,14390.4,17669,18294.6666666667,3432,2.25,4,0.4,0.7,2020-03-07,0.4
0.860088510540191,3266.36236298389,0.0196127437508058,84770,46623.5,15168.45,17669,18294.6666666667,4323,2.5,5.5,0.6,0.5,2020-03-07,0.45
0.897411351334269,3266.84390297727,0.0125673308974897,294922,176953.2,17154.6,17669,18294.6666666667,3499,2.75,7,0.45,0.7,2020-03-07,0.4
0.975288900184526,3268.01358182231,0.00677021012959253,35133,24593.1,17913.7,17669,18294.6666666667,678,2.5,5,0.65,0.5,2020-03-07,0.3
0.918825410645537,3281.75376179969,0.0163163788356083,51932,31159.2,12378,17669,18294.6666666667,3144,2.75,6.5,0.65,0.5,2020-03-07,0.4
0.894655624043588,3283.62882479736,0.0129473796689027,31870,20715.5,14613.95,17669,18294.6666666667,2433,2.5,5.5,0.7,0.7,2020-03-07,0.35
0.948077908117166,3285.13987175414,0.00623581066213119,46335,30117.75,15389.4,17669,18294.6666666667,1395,3,6.5,0.6,0.3,2020-03-07,0.35
0.798188334733623,3292.51186592322,0.0134660114848688,50924,33100.6,13712.4,17669,18294.6666666667,1435,3,7,0.65,0.3,2020-03-07,0.35
0.843783492152425,3293.26642113549,0.0125673486398359,107858,70107.7,20412.6,17669,18294.6666666667,1365,3,7,0.55,0.3,2020-03-07,0.35
0.669508429641935,3294.27588423757,0.0129052662288654,47384,26061.2,13772,17669,18294.6666666667,4399,2.75,6,0.7,0.5,2020-03-07,0.45
0.818786030853182,3299.11268872099,0.0312836654487448,47833,33483.1,14189,17669,18294.6666666667,642,2.25,5,0.6,0.5,2020-03-07,0.3
0.968582347590286,3299.84248304285,0.0207402174095666,86656,38995.2,16139.7,17669,18294.6666666667,6482,2.25,4.5,0.55,0.4,2020-03-07,0.55
0.824724636122165,3306.91267566055,0.00832330516600537,74671,29868.4,17824.8,17669,18294.6666666667,8570,3,6.5,0.7,0.7,2020-03-07,0.6
0.902129873578484,3309.91633609181,0.0248162205957756,33934,23753.8,14694.4,17669,18294.6666666667,1167,2.25,5,0.65,0.7,2020-03-07,0.3
0.867906712219579,3310.77680095045,0.0182843662742529,183351,100843.05,15018.3,17669,18294.6666666667,4299,2.75,6.5,0.55,0.5,2020-03-07,0.45
0.758557496549759,3319.66210476448,0.0384326691025103,27728,18023.2,14934.4,17669,18294.6666666667,1937,2.25,5,0.7,0.5,2020-03-07,0.35
0.824128576700907,3327.21439675524,0.00642499495207556,104546,62727.6,16291.8,17669,18294.6666666667,3472,2.25,4.5,0.45,0.7,2020-03-07,0.4
0.983002585401846,3327.88394191627,0.0125673308974897,84858,50914.8,18460.2,17669,18294.6666666667,2859,2.75,6,0.6,0.4,2020-03-07,0.4
0.866696637201979,3328.56523761987,0.0202905242060929,45269,29424.85,14816.1,17669,18294.6666666667,2311,2,4,0.55,0.7,2020-03-07,0.35
0.945768627434394,3339.27423917899,0.0392365373563965,155362,77681,15157,17669,18294.6666666667,5273,2.5,6,0.55,0.4,2020-03-07,0.5
0.802360256005644,3342.56109023834,0.0025864448360639,35750,21450,17080.2,17669,18294.6666666667,2475,3,6,0.4,0.3,2020-03-07,0.4
0.890412267556778,3355.35450797624,0.00617625811590521,61202,33661.1,16177.15,17669,18294.6666666667,4090,3,6.5,0.6,0.4,2020-03-07,0.45
0.94959446146266,3359.69412007981,0.0231349104636429,59830,41881,13694.1,17669,18294.6666666667,1189,2.75,7,0.65,0.7,2020-03-07,0.3
0.951777451863541,3370.32575216951,0.00458785722880108,44072,30850.4,24084.2,17669,18294.6666666667,2,2.25,4,0.4,0.3,2020-03-07,0.3
0.876556631174193,3381.29904024274,0.0262495201215291,30791,21553.7,13754.3,17669,18294.6666666667,1213,2.5,6,0.7,0.7,2020-03-07,0.3
0.900599193483167,3383.11662323659,0.00166623036586315,34537,20722.2,18025.8,17669,18294.6666666667,2989,2.75,5,0.45,0.5,2020-03-07,0.4
0.92253323220344,3395.69091917891,0.0117276285004861,100068,70047.6,19360.6,17669,18294.6666666667,140,3,7,0.55,0.3,2020-03-07,0.3
0.923227694415937,3421.96694213816,0.00249316847126264,49184,29510.4,19716,17669,18294.6666666667,3554,2.75,5.5,0.55,0.7,2020-03-07,0.4
0.790370312874998,3422.66512830263,0.0189592470452161,27997,19597.9,13274.1,17669,18294.6666666667,1121,2,4,0.6,0.7,2020-03-07,0.3
0.946421746495423,3422.91486857778,0.0147879525274418,100288,60172.8,14561.4,17669,18294.6666666667,2538,2.5,5.5,0.5,0.3,2020-03-07,0.4
0.94313253175337,3431.20229650577,0.0384314318225055,27274,19091.8,14680.4,17669,18294.6666666667,712,2.25,5,0.7,0.5,2020-03-07,0.3
0.908606371281347,3433.16016560273,0.0443286518652996,167867,92326.85,17647.3,17669,18294.6666666667,4339,2.75,7,0.6,0.5,2020-03-07,0.45
0.947089482585396,3433.81721001166,0.0297428778105479,40589,22323.95,13668.6,17669,18294.6666666667,4842,2.25,5,0.65,0.7,2020-03-07,0.45
0.929605981095578,3435.16049726578,0.0428509963462345,127991,76794.6,10186.2,17669,18294.6666666667,2578,2.5,6,0.55,0.3,2020-03-07,0.4
0.839563463808287,3436.52657491045,0.0184282508635446,63912,41542.8,14820.65,17669,18294.6666666667,1628,2.5,5.5,0.6,0.4,2020-03-07,0.35
0.94613675753182,3448.94862648285,0.0312836654487448,32977,23083.9,16331.7,17669,18294.6666666667,228,2.5,5.5,0.7,0.3,2020-03-07,0.3
0.854535940892044,3449.64527609205,0.00733431513017702,56476,33885.6,18019.2,17669,18294.6666666667,3629,2.75,6,0.65,0.7,2020-03-07,0.4
0.920881054593181,3458.6686138598,0.0126011060196158,41778,29244.6,20373.5,17669,18294.6666666667,637,2.25,4.5,0.6,0.5,2020-03-07,0.3
0.902689464363469,3463.84454410293,0.00362565095644192,49534,27243.7,17131.4,17669,18294.6666666667,4202,2.25,4,0.45,0.5,2020-03-07,0.45
0.973708476899859,3464.36979999409,0.0103228586374375,77001,38500.5,19023.5,17669,18294.6666666667,5070,3,6.5,0.6,0.3,2020-03-07,0.5
0.866789906774565,3466.07900111571,0.0100828794257399,53914,32348.4,15550.8,17669,18294.6666666667,3675,3,7,0.7,0.7,2020-03-07,0.4
0.973437250488773,3476.48528954891,0.0372361397139265,108693,48911.85,15682.95,17669,18294.6666666667,7023,2.5,6,0.6,0.6,2020-03-07,0.55
0.83908221847587,3479.26517341288,0.029208356945389,99792,54885.6,20054.65,17669,18294.6666666667,4527,2.25,5,0.55,0.6,2020-03-07,0.45
0.844960465184387,3487.9007340898,0.0447282511598348,91111,54666.6,12364.8,17669,18294.6666666667,3552,2.25,5.5,0.55,0.7,2020-03-07,0.4
0.668759031630784,3490.26475452642,0.0025001727600953,31284,21898.8,18032.7,17669,18294.6666666667,1087,2.25,4,0.55,0.7,2020-03-07,0.3
0.87104840030994,3502.50586522895,0.0176218117463366,141337,91869.05,17390.1,17669,18294.6666666667,2287,2.25,5,0.5,0.7,2020-03-07,0.35
0.945931144355833,3503.31883564678,0.0239602428743939,47758,28654.8,16368,17669,18294.6666666667,2597,2.25,4.5,0.6,0.3,2020-03-07,0.4
0.977617926691928,3503.55787066325,0.0125673308974897,65938,39562.8,19209.6,17669,18294.6666666667,3052,2.25,4.5,0.55,0.5,2020-03-07,0.4
0.808142260873266,3507.09960536842,0.00554755353313719,32303,19381.8,17520.6,17669,18294.6666666667,3117,2.25,4,0.65,0.5,2020-03-07,0.4
0.850924041315485,3512.14524180685,0.0189584273799295,106155,74308.5,9219,17669,18294.6666666667,1,2,4,0.4,0.3,2020-03-07,0.3
0.892186056066989,3523.39228550141,0.00200762835468018,36249,21749.4,15702.6,17669,18294.6666666667,3350,3,6,0.6,0.6,2020-03-07,0.4
0.86929102852207,3527.1611769878,0.002698352225236,49926,22466.7,17466.75,17669,18294.6666666667,6395,3,6,0.4,0.4,2020-03-07,0.55
